data; valor
30/10/2019 18:02:00;0
30/10/2019 18:02:24;0
30/10/2019 18:02:25;246,3119
30/10/2019 18:02:27;529,6035
30/10/2019 18:02:29;743,3632
30/10/2019 18:02:31;918,7225
30/10/2019 18:02:33;1.043,89
30/10/2019 18:02:35;1.124,94
30/10/2019 18:02:37;1.175,03
30/10/2019 18:02:39;1.211,81
30/10/2019 18:02:41;1.241,41
30/10/2019 18:02:43;1.258,82
30/10/2019 18:02:45;1.270,26
30/10/2019 18:02:49;1.283,08
30/10/2019 18:02:51;1.286,15
30/10/2019 18:02:53;1.288,29
30/10/2019 18:03:01;1.291,48
30/10/2019 18:03:03;1.293,48
30/10/2019 18:03:07;1.292,57
30/10/2019 18:03:13;1.293,81
30/10/2019 18:03:15;1.292,42
30/10/2019 18:03:17;1.288,74
30/10/2019 18:03:19;1.081,54
30/10/2019 18:03:20;942,4181
30/10/2019 18:03:22;814,6317
30/10/2019 18:03:23;547,1718
30/10/2019 18:03:25;319,1042
30/10/2019 18:03:27;208,3652
30/10/2019 18:03:29;166,4483
30/10/2019 18:03:33;66,73122
30/10/2019 18:03:35;36,84822
30/10/2019 18:03:37;32,60664
30/10/2019 18:03:39;0
30/10/2019 18:05:00;0
30/10/2019 18:06:23;0
30/10/2019 18:06:24;77,75613
30/10/2019 18:06:25;248,5775
30/10/2019 18:06:26;401,583
30/10/2019 18:06:27;532,2643
30/10/2019 18:06:28;644,6593
30/10/2019 18:06:29;745,0796
30/10/2019 18:06:30;837,5773
30/10/2019 18:06:31;917,2969
30/10/2019 18:06:32;988,272
30/10/2019 18:06:33;1.042,25
30/10/2019 18:06:34;1.088,15
30/10/2019 18:06:35;1.122,77
30/10/2019 18:06:36;1.150,77
30/10/2019 18:06:37;1.174,65
30/10/2019 18:06:38;1.193,55
30/10/2019 18:06:39;1.211,43
30/10/2019 18:06:40;1.227,97
30/10/2019 18:06:41;1.239,43
30/10/2019 18:06:42;1.250,49
30/10/2019 18:06:43;1.257,80
30/10/2019 18:06:44;1.263,34
30/10/2019 18:06:45;1.268,23
30/10/2019 18:06:46;1.272,02
30/10/2019 18:06:48;1.278,49
30/10/2019 18:06:49;1.280,87
30/10/2019 18:06:52;1.284,63
30/10/2019 18:06:55;1.288,72
30/10/2019 18:06:58;1.291,31
30/10/2019 18:07:08;1.293,00
30/10/2019 18:07:14;1.291,65
30/10/2019 18:07:18;1.213,32
30/10/2019 18:07:20;941,0411
30/10/2019 18:07:22;683,5036
30/10/2019 18:07:24;418,3467
30/10/2019 18:07:26;250,1121
30/10/2019 18:07:28;184,0023
30/10/2019 18:07:30;146,5077
30/10/2019 18:07:32;92,4864
30/10/2019 18:07:34;47,2285
30/10/2019 18:07:40;0
30/10/2019 18:09:00;0
30/10/2019 18:10:00;0
30/10/2019 18:11:00;0
30/10/2019 18:12:00;0
30/10/2019 18:14:00;0
30/10/2019 18:14:44;0
30/10/2019 18:14:45;112,1088
30/10/2019 18:14:46;280,597
30/10/2019 18:14:47;428,7909
30/10/2019 18:14:48;552,2938
30/10/2019 18:14:49;662,7211
30/10/2019 18:14:50;761,3136
30/10/2019 18:14:51;850,7517
30/10/2019 18:14:52;932,8111
30/10/2019 18:14:53;998,1215
30/10/2019 18:14:54;1.051,25
30/10/2019 18:14:55;1.094,56
30/10/2019 18:14:56;1.127,32
30/10/2019 18:14:57;1.153,03
30/10/2019 18:14:58;1.175,53
30/10/2019 18:14:59;1.195,69
30/10/2019 18:15:00;1.213,27
30/10/2019 18:15:01;1.228,37
30/10/2019 18:15:02;1.240,26
30/10/2019 18:15:03;1.250,82
30/10/2019 18:15:04;1.257,90
30/10/2019 18:15:05;1.262,35
30/10/2019 18:15:06;1.266,36
30/10/2019 18:15:07;1.270,18
30/10/2019 18:15:09;1.276,82
30/10/2019 18:15:12;1.283,17
30/10/2019 18:15:14;1.285,40
30/10/2019 18:15:17;1.278,76
30/10/2019 18:15:18;1.197,54
30/10/2019 18:15:19;1.061,91
30/10/2019 18:15:20;924,7675
30/10/2019 18:15:21;797,4971
30/10/2019 18:15:22;667,4876
30/10/2019 18:15:23;529,783
30/10/2019 18:15:24;409,3729
30/10/2019 18:15:25;307,4898
30/10/2019 18:15:26;241,6502
30/10/2019 18:15:27;202,0102
30/10/2019 18:15:28;180,0054
30/10/2019 18:15:29;162,6315
30/10/2019 18:15:31;117,7741
30/10/2019 18:15:32;89,27515
30/10/2019 18:15:33;70,9254
30/10/2019 18:15:34;51,04764
30/10/2019 18:15:35;37,34294
30/10/2019 18:15:36;31,43116
30/10/2019 18:15:39;0
30/10/2019 18:17:00;0
30/10/2019 18:18:00;0
30/10/2019 18:18:23;0
30/10/2019 18:18:24;95,73203
30/10/2019 18:18:25;264,7943
30/10/2019 18:18:26;415,3209
30/10/2019 18:18:27;542,9562
30/10/2019 18:18:28;653,7089
30/10/2019 18:18:29;753,4709
30/10/2019 18:18:30;845,5349
30/10/2019 18:18:31;923,4055
30/10/2019 18:18:32;991,5041
30/10/2019 18:18:33;1.046,73
30/10/2019 18:18:34;1.089,65
30/10/2019 18:18:35;1.122,90
30/10/2019 18:18:36;1.150,03
30/10/2019 18:18:37;1.165,97
30/10/2019 18:18:38;1.185,84
30/10/2019 18:18:39;1.203,93
30/10/2019 18:18:40;1.219,77
30/10/2019 18:18:41;1.232,16
30/10/2019 18:18:42;1.242,31
30/10/2019 18:18:43;1.250,03
30/10/2019 18:18:44;1.257,84
30/10/2019 18:18:45;1.263,39
30/10/2019 18:18:46;1.269,02
30/10/2019 18:18:47;1.272,61
30/10/2019 18:18:51;1.281,89
30/10/2019 18:18:53;1.284,82
30/10/2019 18:18:59;1.288,22
30/10/2019 18:19:02;1.287,51
30/10/2019 18:19:05;1.288,95
30/10/2019 18:19:06;1.287,63
30/10/2019 18:19:09;1.289,07
30/10/2019 18:19:12;1.288,45
30/10/2019 18:19:17;1.278,85
30/10/2019 18:19:18;1.198,00
30/10/2019 18:19:19;1.062,44
30/10/2019 18:19:20;925,2078
30/10/2019 18:19:21;797,9977
30/10/2019 18:19:22;663,4623
30/10/2019 18:19:23;571,1815
30/10/2019 18:19:24;439,4781
30/10/2019 18:19:25;339,7344
30/10/2019 18:19:26;262,2473
30/10/2019 18:19:27;212,5469
30/10/2019 18:19:28;186,6519
30/10/2019 18:19:29;168,5563
30/10/2019 18:19:31;126,169
30/10/2019 18:19:32;98,84019
30/10/2019 18:19:33;72,11511
30/10/2019 18:19:34;50,2229
30/10/2019 18:19:35;37,3933
30/10/2019 18:19:36;31,6646
30/10/2019 18:19:38;31,00102
30/10/2019 18:19:39;0
30/10/2019 18:21:00;0
30/10/2019 18:22:24;0
30/10/2019 18:22:25;96,05492
30/10/2019 18:22:26;266,817
30/10/2019 18:22:27;416,5023
30/10/2019 18:22:28;543,8698
30/10/2019 18:22:29;660,491
30/10/2019 18:22:30;758,9141
30/10/2019 18:22:31;816,3569
30/10/2019 18:22:32;898,86
30/10/2019 18:22:33;970,2079
30/10/2019 18:22:34;1.028,23
30/10/2019 18:22:35;1.078,41
30/10/2019 18:22:36;1.116,18
30/10/2019 18:22:37;1.143,07
30/10/2019 18:22:38;1.167,04
30/10/2019 18:22:39;1.187,54
30/10/2019 18:22:40;1.204,67
30/10/2019 18:22:41;1.218,62
30/10/2019 18:22:42;1.234,01
30/10/2019 18:22:43;1.244,03
30/10/2019 18:22:44;1.252,07
30/10/2019 18:22:45;1.258,03
30/10/2019 18:22:46;1.261,94
30/10/2019 18:22:50;1.277,17
30/10/2019 18:22:51;1.279,84
30/10/2019 18:22:53;1.283,52
30/10/2019 18:23:01;1.286,70
30/10/2019 18:23:02;1.287,48
30/10/2019 18:23:05;1.286,16
30/10/2019 18:23:08;1.288,53
30/10/2019 18:23:16;1.287,00
30/10/2019 18:23:18;1.277,54
30/10/2019 18:23:19;1.228,83
30/10/2019 18:23:20;1.105,89
30/10/2019 18:23:21;964,3927
30/10/2019 18:23:22;835,9468
30/10/2019 18:23:23;703,0123
30/10/2019 18:23:24;566,271
30/10/2019 18:23:25;439,2713
30/10/2019 18:23:26;336,7453
30/10/2019 18:23:27;256,5334
30/10/2019 18:23:28;210,4626
30/10/2019 18:23:29;185,3538
30/10/2019 18:23:30;167,3275
30/10/2019 18:23:32;125,9539
30/10/2019 18:23:33;97,80749
30/10/2019 18:23:34;70,67123
30/10/2019 18:23:35;50,16543
30/10/2019 18:23:36;37,47803
30/10/2019 18:23:37;32,2393
30/10/2019 18:23:39;31,12544
30/10/2019 18:23:40;0
30/10/2019 18:25:00;0
30/10/2019 18:26:00;0
30/10/2019 18:26:24;0
30/10/2019 18:26:25;50,40657
30/10/2019 18:26:26;218,9718
30/10/2019 18:26:27;374,6161
30/10/2019 18:26:28;503,6676
30/10/2019 18:26:29;619,5156
30/10/2019 18:26:30;722,019
30/10/2019 18:26:31;819,4153
30/10/2019 18:26:32;900,493
30/10/2019 18:26:33;969,818
30/10/2019 18:26:34;1.027,80
30/10/2019 18:26:35;1.074,73
30/10/2019 18:26:36;1.111,14
30/10/2019 18:26:37;1.141,00
30/10/2019 18:26:38;1.165,94
30/10/2019 18:26:39;1.186,78
30/10/2019 18:26:40;1.205,05
30/10/2019 18:26:41;1.220,72
30/10/2019 18:26:42;1.233,57
30/10/2019 18:26:43;1.245,16
30/10/2019 18:26:44;1.252,51
30/10/2019 18:26:45;1.259,92
30/10/2019 18:26:46;1.264,07
30/10/2019 18:26:47;1.267,99
30/10/2019 18:26:49;1.275,75
30/10/2019 18:26:50;1.278,15
30/10/2019 18:26:53;1.283,47
30/10/2019 18:26:57;1.285,94
30/10/2019 18:27:04;1.287,81
30/10/2019 18:27:07;1.289,55
30/10/2019 18:27:15;1.286,58
30/10/2019 18:27:18;1.288,82
30/10/2019 18:27:19;1.225,49
30/10/2019 18:27:20;1.105,15
30/10/2019 18:27:21;963,28
30/10/2019 18:27:22;834,8288
30/10/2019 18:27:23;697,3724
30/10/2019 18:27:24;559,8271
30/10/2019 18:27:25;434,1535
30/10/2019 18:27:26;333,3936
30/10/2019 18:27:27;258,6153
30/10/2019 18:27:28;213,4226
30/10/2019 18:27:29;187,197
30/10/2019 18:27:30;168,4657
30/10/2019 18:27:32;125,5546
30/10/2019 18:27:33;97,72099
30/10/2019 18:27:34;71,00184
30/10/2019 18:27:35;50,24186
30/10/2019 18:27:36;38,45681
30/10/2019 18:27:37;32,55391
30/10/2019 18:27:39;31,89685
30/10/2019 18:27:40;0
30/10/2019 18:29:00;0
30/10/2019 18:30:24;0
30/10/2019 18:30:25;49,8218
30/10/2019 18:30:26;223,3615
30/10/2019 18:30:27;378,0751
30/10/2019 18:30:28;509,4283
30/10/2019 18:30:29;624,1801
30/10/2019 18:30:30;725,8287
30/10/2019 18:30:31;818,1445
30/10/2019 18:30:32;905,3501
30/10/2019 18:30:33;974,2113
30/10/2019 18:30:34;1.032,43
30/10/2019 18:30:35;1.077,56
30/10/2019 18:30:36;1.114,27
30/10/2019 18:30:37;1.142,08
30/10/2019 18:30:38;1.166,56
30/10/2019 18:30:39;1.186,90
30/10/2019 18:30:40;1.205,65
30/10/2019 18:30:41;1.222,74
30/10/2019 18:30:42;1.236,15
30/10/2019 18:30:43;1.246,20
30/10/2019 18:30:44;1.253,10
30/10/2019 18:30:45;1.258,96
30/10/2019 18:30:46;1.263,00
30/10/2019 18:30:51;1.279,49
30/10/2019 18:30:55;1.285,78
30/10/2019 18:31:02;1.287,37
30/10/2019 18:31:04;1.289,71
30/10/2019 18:31:06;1.290,38
30/10/2019 18:31:14;1.288,88
30/10/2019 18:31:16;1.289,57
30/10/2019 18:31:18;1.287,96
30/10/2019 18:31:19;1.225,40
30/10/2019 18:31:20;1.100,53
30/10/2019 18:31:21;959,4621
30/10/2019 18:31:22;830,807
30/10/2019 18:31:23;702,3546
30/10/2019 18:31:24;570,0587
30/10/2019 18:31:25;430,9766
30/10/2019 18:31:26;330,2962
30/10/2019 18:31:27;256,2804
30/10/2019 18:31:28;210,8412
30/10/2019 18:31:29;185,9759
30/10/2019 18:31:30;167,7346
30/10/2019 18:31:32;124,561
30/10/2019 18:31:33;97,64989
30/10/2019 18:31:34;70,14392
30/10/2019 18:31:35;49,97821
30/10/2019 18:31:36;37,78908
30/10/2019 18:31:37;32,48756
30/10/2019 18:31:38;31,76117
30/10/2019 18:31:40;0
30/10/2019 18:33:00;0
30/10/2019 18:34:24;0
30/10/2019 18:34:25;50,9955
30/10/2019 18:34:26;219,1578
30/10/2019 18:34:27;385,2654
30/10/2019 18:34:28;516,3484
30/10/2019 18:34:29;629,9562
30/10/2019 18:34:30;732,5664
30/10/2019 18:34:31;823,8702
30/10/2019 18:34:32;905,3436
30/10/2019 18:34:33;975,1753
30/10/2019 18:34:34;1.034,36
30/10/2019 18:34:35;1.080,55
30/10/2019 18:34:36;1.116,14
30/10/2019 18:34:37;1.143,10
30/10/2019 18:34:38;1.165,73
30/10/2019 18:34:39;1.185,36
30/10/2019 18:34:40;1.203,42
30/10/2019 18:34:41;1.220,51
30/10/2019 18:34:42;1.234,08
30/10/2019 18:34:43;1.244,37
30/10/2019 18:34:44;1.251,63
30/10/2019 18:34:45;1.257,35
30/10/2019 18:34:46;1.261,82
30/10/2019 18:34:51;1.276,58
30/10/2019 18:34:53;1.278,52
30/10/2019 18:34:54;1.280,76
30/10/2019 18:34:56;1.282,70
30/10/2019 18:34:57;1.284,56
30/10/2019 18:35:01;1.286,58
30/10/2019 18:35:06;1.285,31
30/10/2019 18:35:11;1.286,58
30/10/2019 18:35:18;1.284,51
30/10/2019 18:35:19;1.216,90
30/10/2019 18:35:20;1.089,08
30/10/2019 18:35:21;949,3602
30/10/2019 18:35:22;821,1561
30/10/2019 18:35:23;692,8654
30/10/2019 18:35:24;555,5488
30/10/2019 18:35:25;430,505
30/10/2019 18:35:26;326,7644
30/10/2019 18:35:27;254,007
30/10/2019 18:35:28;209,139
30/10/2019 18:35:29;184,4046
30/10/2019 18:35:30;166,5792
30/10/2019 18:35:31;148,2751
30/10/2019 18:35:32;122,0904
30/10/2019 18:35:33;94,03752
30/10/2019 18:35:34;68,31434
30/10/2019 18:35:35;48,23276
30/10/2019 18:35:36;36,75994
30/10/2019 18:35:37;31,53662
30/10/2019 18:35:39;30,58213
30/10/2019 18:35:40;0
30/10/2019 18:37:00;0
30/10/2019 18:38:00;0
30/10/2019 18:38:23;0
30/10/2019 18:38:24;61,25254
30/10/2019 18:38:25;230,5631
30/10/2019 18:38:26;384,6676
30/10/2019 18:38:27;523,5501
30/10/2019 18:38:28;636,4309
30/10/2019 18:38:29;736,933
30/10/2019 18:38:30;827,9092
